,lordo_speed,out_speed,volume,gaps,colb,gr,mano,h1,h2,h3,fr_cu_pm_nb,r1_p_b,tool,layers,ff_cf,sin_st,gr_cat
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
68319,152.56756756756758,95.62162162162163,2500.0,64.0,Q,60.0,1.0,1080.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
68519,60.538888888888884,50.964285714285715,4000.0,80.0,Q,60.0,1.0,1350.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
70919,251.44432470062023,176.40570210226815,1200.0,400.0,N,90.0,1.24,1190.0,,,Smooth,,T5,4,CF,singolo,
71419,136.93607079416566,103.97732737267752,1500.0,600.0,Q,55.0,1.0,1370.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
71519,105.5568048910154,68.84128826969385,1500.0,400.0,Q,55.0,1.1,1370.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
71619,152.06913586413586,124.76307692307692,3000.0,680.0,Q,55.0,1.1,1370.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
73919,229.87371651785716,174.34788511242044,7000.0,272.0,N,70.0,1.25,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(66.0, 78.0]"
76619,204.94079419270216,173.05587826835514,5000.0,440.0,Q,80.0,1.24,1350.0,,,Groove,,T5,4,CF,singolo,
76919,149.77347901410542,124.99917838259258,4000.0,800.0,Q,54.0,1.05,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
77019,160.01711093156482,142.62263529094918,6000.0,480.0,Q,70.0,1.0,1350.0,,,Groove,,T5,4,CF,singolo,"(66.0, 78.0]"
78919,202.7593571552491,172.36303767570763,13000.0,368.0,Q,90.0,1.24,1340.0,1080,1080,Groove,,T5,4,CF,singolo,
79019,157.53189530302782,124.7621503619284,10000.0,656.0,Q,52.0,1.15,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
79619,39.52953980099502,25.88432835820895,6000.0,96.0,Q,100.0,1.24,800.0,,,Smooth,,T5,4,FF,stecca,
79719,186.47383020560457,180.22288195364692,31000.0,400.0,Q,52.0,1.15,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
79719,186.47383020560457,180.22288195364692,31000.0,400.0,Q,52.0,1.15,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
79719,186.47383020560457,180.22288195364692,31000.0,400.0,Q,52.0,1.15,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
79719,186.47383020560457,180.22288195364692,31000.0,400.0,Q,52.0,1.15,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
83919,166.14887350979996,141.25566781167913,29000.0,816.0,Q,60.0,1.0,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
83919,166.14887350979996,141.25566781167913,29000.0,816.0,Q,60.0,1.0,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
83919,166.14887350979996,141.25566781167913,29000.0,816.0,Q,60.0,1.0,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
83919,166.14887350979996,141.25566781167913,29000.0,816.0,Q,60.0,1.0,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
